,Player,Team,AVG,POS
0,Jonathan Taylor,IND,1.0,RB1
1,Christian McCaffrey,CAR,2.7,RB2
2,Austin Ekeler,LAC,3.0,RB3
3,Derrick Henry,TEN,4.3,RB4
4,Cooper Kupp,LAR,5.3,WR1
5,Justin Jefferson,MIN,5.7,WR2
6,Najee Harris,PIT,6.7,RB5
7,Dalvin Cook,MIN,7.3,RB6
8,Ja'Marr Chase,CIN,9.0,WR3
9,Joe Mixon,CIN,10.3,RB7
10,D'Andre Swift,DET,12.0,RB8
11,Davante Adams,LV,12.0,WR4
12,Stefon Diggs,BUF,14.3,WR5
13,Travis Kelce,KC,14.7,TE1
14,Alvin Kamara,NO,16.0,RB9
15,Nick Chubb,CLE,16.7,RB10
16,Javonte Williams,DEN,17.3,RB11
17,Saquon Barkley,NYG,17.3,RB12
18,Deebo Samuel,SF,18.7,WR6
19,CeeDee Lamb,DAL,18.7,WR7
20,Tyreek Hill,MIA,21.0,WR8
21,Aaron Jones,GB,22.0,RB13
22,Josh Allen,BUF,23.0,QB1
23,Mark Andrews,BAL,23.0,TE2
24,Leonard Fournette,TB,23.3,RB14
25,Mike Evans,TB,27.7,WR9
26,A.J. Brown,PHI,28.0,WR10
27,Ezekiel Elliott,DAL,28.7,RB15
28,James Conner,ARI,29.7,RB16
29,Keenan Allen,LAC,30.3,WR11
30,Cam Akers,LAR,31.3,RB17
31,Kyle Pitts,ATL,31.3,TE3
32,Tee Higgins,CIN,33.3,WR12
33,Patrick Mahomes,II,33.3,QB2
34,David Montgomery,CHI,36.0,RB18
35,Michael Pittman Jr.,IND,36.7,WR13
36,Justin Herbert,LAC,37.3,QB3
37,Breece Hall,NYJ,39.0,RB19
38,Travis Etienne Jr.,JAC,40.0,RB20
39,Diontae Johnson,PIT,42.0,WR14
40,George Kittle,SF,42.3,TE4
41,Moore,DJ,43.0,WR15
42,Jaylen Waddle,MIA,44.3,WR16
43,Terry McLaurin,WAS,44.3,WR17
44,Josh Jacobs,LV,44.7,RB21
45,Mike Williams,LAC,47.0,WR18
46,Darren Waller,LV,47.7,TE5
47,Metcalf,DK,48.0,WR19
48,Lamar Jackson,BAL,49.0,QB4
49,Elijah Mitchell,SF,49.3,RB22
50,Courtland Sutton,DEN,53.0,WR20
51,Dillon,AJ,53.7,RB23
52,J.K. Dobbins,BAL,56.3,RB24
53,Amon-Ra St. Brown,DET,56.7,WR21
54,Brandin Cooks,HOU,58.0,WR22
55,Chris Godwin,TB,59.0,WR23
56,Kyler Murray,ARI,59.0,QB5
57,Joe Burrow,CIN,59.7,QB6
58,Marquise Brown,ARI,59.7,WR24
59,Darnell Mooney,CHI,61.0,WR25
60,Jalen Hurts,PHI,63.0,QB7
61,Allen Robinson,II,63.0,WR26
62,Dalton Schultz,DAL,64.3,TE6
63,Michael Thomas,NO,66.0,WR27
64,Amari Cooper,CLE,66.3,WR28
65,Antonio Gibson,WAS,66.7,RB25
66,Jerry Jeudy,DEN,67.3,WR29
67,Gabriel Davis,BUF,67.7,WR30
68,Clyde Edwards-Helaire,KC,70.7,RB26
69,T.J. Hockenson,DET,71.3,TE7
70,Damien Harris,NE,71.7,RB27
71,Adam Thielen,MIN,73.7,WR31
72,Devin Singletary,BUF,74.0,RB28
73,Dak Prescott,DAL,75.0,QB8
74,JuJu Smith-Schuster,KC,76.0,WR32
75,Cordarrelle Patterson,ATL,77.3,RB29
76,Miles Sanders,PHI,78.3,RB30
77,Elijah Moore,NYJ,79.0,WR33
78,Tony Pollard,DAL,79.7,RB31
79,Rashaad Penny,SEA,80.0,RB32
80,Kareem Hunt,CLE,81.7,RB33
81,Russell Wilson,DEN,81.7,QB9
82,Dallas Goedert,PHI,81.7,TE8
83,Chase Edmonds,MIA,82.3,RB34
84,Rashod Bateman,BAL,83.7,WR34
85,Tom Brady,TB,85.3,QB10
86,Hunter Renfrow,LV,85.7,WR35
87,DeVonta Smith,PHI,86.0,WR36
88,Rhamondre Stevenson,NE,88.3,RB35
89,Ken Walker,III,90.0,RB36
90,Matthew Stafford,LAR,93.3,QB11
91,Brandon Aiyuk,SF,93.3,WR37
92,DeAndre Hopkins,ARI,94.3,WR38
93,Drake London,ATL,95.3,WR39
94,Tyler Lockett,SEA,95.7,WR40
95,Zach Ertz,ARI,96.0,TE9
96,Aaron Rodgers,GB,96.3,QB12
97,Melvin Gordon,III,97.7,RB37
98,Christian Kirk,JAC,101.3,WR41
99,Robert Woods,TEN,101.7,WR42
100,Dawson Knox,BUF,102.0,TE10
101,Trey Lance,SF,102.0,QB13
102,Dameon Pierce,HOU,103.7,RB38
103,Treylon Burks,TEN,103.7,WR43
104,Allen Lazard,GB,104.0,WR44
105,Chris Olave,NO,105.3,WR45
106,Michael Carter,NYJ,107.7,RB39
107,James Cook,BUF,108.0,RB40
108,Derek Carr,LV,110.0,QB14
109,James Robinson,JAC,110.0,RB41
110,Kirk Cousins,MIN,111.0,QB15
111,Chase Claypool,PIT,111.7,WR46
112,Kadarius Toney,NYG,113.0,WR47
113,Alexander Mattison,MIN,116.7,RB42
114,Pat Freiermuth,PIT,120.0,TE11
115,Darrell Henderson Jr.,LAR,120.3,RB43
116,Brian Robinson Jr.,WAS,120.7,RB44
117,Cole Kmet,CHI,121.0,TE12
118,Russell Gage,TB,122.7,WR48
119,Isaiah Spiller,LAC,123.0,RB45
120,Garrett Wilson,NYJ,124.0,WR49
121,Kenneth Gainwell,PHI,124.0,RB46
122,Tyler Boyd,CIN,124.7,WR50
123,Nyheim Hines,IND,128.3,RB47
124,Tua Tagovailoa,MIA,128.3,QB16
125,Mike Gesicki,MIA,129.0,TE13
126,Justin Fields,CHI,129.3,QB17
127,Rachaad White,TB,130.7,RB48
128,Skyy Moore,KC,133.0,WR51
129,George Pickens,PIT,136.7,WR52
130,Jakobi Meyers,NE,137.3,WR53
131,Chark Jr.,DJ,138.3,WR54
132,J.D. McKissic,WAS,139.0,RB49
133,Irv Smith Jr.,MIN,139.0,TE14
134,Rondale Moore,ARI,139.3,WR55
135,Khalil Herbert,CHI,140.0,RB50
136,Jarvis Landry,NO,141.3,WR56
137,Marquez Valdes-Scantling,KC,142.0,WR57
138,Raheem Mostert,MIA,143.7,RB51
139,Tyler Allgeier,ATL,144.0,RB52
140,Trevor Lawrence,JAC,144.7,QB18
141,Justin Tucker,BAL,146.3,K1
142,Jamaal Williams,DET,148.7,RB53
143,Michael Gallup,DAL,150.7,WR58
144,Kenny Golladay,NYG,151.3,WR59
145,Jahan Dotson,WAS,151.3,WR60
146,Albert Okwuegbunam,DEN,153.3,TE15
147,DeVante Parker,NE,153.3,WR61
148,Jalen Tolbert,DAL,157.3,WR62
149,Matt Ryan,IND,158.0,QB19
150,Ryan Tannehill,TEN,159.0,QB20
151,Romeo Doubs,GB,159.0,WR63
152,Daniel Carlson,LV,161.3,K2
153,Jameson Williams,DET,163.0,WR64
154,Julio Jones,TB,163.0,WR65
155,Mecole Hardman,KC,165.3,WR66
156,Evan McPherson,CIN,168.0,K3
157,David Njoku,CLE,168.7,TE16
158,Hunter Henry,NE,169.0,TE17
159,Jameis Winston,NO,169.7,QB21
160,Darrel Williams,ARI,170.7,RB54
161,Mac Jones,NE,170.7,QB22
162,Noah Fant,SEA,172.3,TE18
163,Ronald Jones,II,172.7,RB55
164,Christian Watson,GB,175.0,WR67
165,Marlon Mack,HOU,176.3,RB56
166,Harrison Butker,KC,176.3,K4
167,Zamir White,LV,178.0,RB57
168,Joshua Palmer,LAC,180.0,WR68
169,Robert Tonyan,GB,180.3,TE19
170,Isaiah McKenzie,BUF,180.7,WR69
171,Buffalo Bills,DST,133.5,DST1
172,D'Onta Foreman,CAR,183.7,RB58
173,Matt Gay,LAR,184.3,K5
174,Mark Ingram,II,185.3,RB59
175,Sammy Watkins,GB,187.0,WR70
176,Deshaun Watson,CLE,187.3,QB23
177,Alec Pierce,IND,189.0,WR71
178,Gerald Everett,LAC,189.0,TE20
179,Gus Edwards,BAL,189.7,RB60
180,Tyler Bass,BUF,190.3,K6
181,Evan Engram,JAC,191.3,TE21
182,Davis Mills,HOU,192.0,QB24
183,Tampa Bay Buccaneers,DST,147.5,DST2
184,Baker Mayfield,CAR,193.0,QB25
185,Carson Wentz,WAS,195.0,QB26
186,K.J. Osborn,MIN,195.3,WR72
187,Robbie Anderson,CAR,198.0,WR73
188,Corey Davis,NYJ,198.3,WR74
189,Wan'Dale Robinson,NYG,199.7,WR75
190,Isiah Pacheco,KC,158.5,RB61
191,Dallas Cowboys,DST,159.5,DST3
192,Jeff Wilson Jr.,SF,201.3,RB62
193,Matt Prater,ARI,202.0,K7
194,Jared Goff,DET,202.3,QB27
195,Sony Michel,MIA,202.7,RB63
196,Tyrion Davis-Price,SF,203.0,RB64
197,Nico Collins,HOU,205.0,WR76
198,Indianapolis Colts,DST,168.5,DST4
199,Van Jefferson,LAR,206.7,WR77
200,Zach Wilson,NYJ,219.0,QB28
201,Marvin Jones Jr.,JAC,210.3,WR78
202,New England Patriots,DST,174.5,DST5
203,New Orleans Saints,DST,178.0,DST6
204,Tyler Higbee,LAR,215.7,TE22
205,Rodrigo Blankenship,IND,217.0,K8
206,Hassan Haskins,TEN,217.7,RB65
207,Miami Dolphins,DST,187.0,DST7
208,San Francisco 49ers,DST,188.5,DST8
209,Dontrell Hilliard,TEN,220.3,RB66
210,Curtis Samuel,WAS,221.3,WR79
211,Chuba Hubbard,CAR,221.7,RB67
212,Odell Beckham Jr.,,225.0,WR80
213,Daniel Jones,NYG,222.3,QB29
214,Kenyan Drake,,223.0,RB68
215,Kenny Pickett,PIT,223.7,QB30
216,Mike Davis,BAL,224.0,RB69
217,Los Angeles Rams,DST,196.0,DST9
218,Hayden Hurst,CIN,228.0,TE23
219,D'Ernest Johnson,CLE,226.3,RB70
220,Parris Campbell,IND,235.3,WR81
221,Cameron Brate,TB,227.3,TE24
222,David Bell,CLE,227.3,WR82
223,Taysom Hill,NO,227.3,TE25
224,Logan Thomas,WAS,227.7,TE26
225,Donovan Peoples-Jones,CLE,228.3,WR83
226,Denver Broncos,DST,202.0,DST10
227,Brandon McManus,DEN,229.0,K9
228,Hamler,KJ,230.0,WR84
229,Marcus Mariota,ATL,230.7,QB31
230,Myles Gaskin,MIA,231.0,RB71
231,Joshua Kelley,LAC,205.5,RB72
232,Mitch Trubisky,PIT,233.3,QB32
233,Eno Benjamin,ARI,232.0,RB73
234,Los Angeles Chargers,DST,207.0,DST11
235,Jimmy Garoppolo,SF,233.3,QB33
236,Younghoe Koo,ATL,250.7,K10
237,Jamison Crowder,BUF,234.7,WR85
238,Austin Hooper,TEN,235.0,TE27
239,Kansas City Chiefs,DST,212.5,DST12
240,Wil Lutz,NO,236.7,K11
241,Dustin Hopkins,LAC,214.5,K12
242,Ryan Succop,TB,217.0,K13
243,Nick Folk,NE,240.7,K14
244,Boston Scott,PHI,240.0,RB74
245,Jerick McKinnon,KC,258.7,RB75
246,Jacoby Brissett,CLE,226.5,QB34
247,Tyquan Thornton,NE,224.5,WR86
248,Terrace Marshall Jr.,CAR,244.0,WR87
249,Kendrick Bourne,NE,244.7,WR88
250,Desmond Ridder,ATL,226.0,QB35
251,Kyle Rudolph,TB,227.0,TE28
252,Keaontay Ingram,ARI,248.0,RB76
253,Samaje Perine,CIN,248.0,RB77
254,Kyren Williams,LAR,231.0,RB78
255,Baltimore Ravens,DST,232.0,DST13
256,Jonnu Smith,NE,232.5,TE29
257,William Fuller V,,249.3,WR89
258,Tennessee Titans,DST,234.5,DST14
259,Pittsburgh Steelers,DST,235.5,DST15
260,Chris Evans,CIN,265.0,RB79
261,Matt Breida,NYG,252.0,RB80
262,Trey Sermon,SF,252.3,RB81
263,Brevin Jordan,HOU,252.7,TE30
264,Ameer Abdullah,LV,199.0,RB82
265,Atlanta Falcons,DST,204.0,DST16
266,Minnesota Vikings,DST,243.5,DST17
267,A.J. Green,ARI,256.7,WR90
268,Drew Lock,SEA,269.0,QB36
269,Las Vegas Raiders,DST,208.0,DST18
270,Green Bay Packers,DST,246.5,DST19
271,Ke'Shawn Vaughn,TB,258.7,RB83
272,Laviska Shenault Jr.,JAC,261.3,WR91
273,Byron Pringle,CHI,269.3,WR92
274,Robbie Gould,SF,270.5,K15
275,Greg Joseph,MIN,253.0,K16
276,Cade York,CLE,224.0,K17
277,C.J. Uzomah,NYJ,254.0,TE31
278,Trey McBride,ARI,254.0,TE32
279,Tyler Badie,BAL,255.0,RB84
280,Damien Williams,ATL,255.0,RB85
281,Isaiah Likely,BAL,290.5,TE33
282,Zay Jones,JAC,281.0,WR93
283,Joey Slye,WAS,232.0,K18
284,Cedrick Wilson Jr.,MIA,258.0,WR94
285,Cleveland Browns,DST,261.5,DST20
286,Marquez Callaway,NO,261.5,WR95
