,index,Player,Team,AVG,POS,FantPt/Touch,FantPt/Touch_Z,VBD,Index,Pick
0,0,Jonathan Taylor,IND,1.0,RB1,0.8951612903225806,1.0490450878288586,187,0,"Round 1, Pick 1"
1,1,Christian McCaffrey,CAR,2.7,RB2,1.6794871794871795,0.6756882792856863,9,1,"Round 1, Pick 2"
2,2,Austin Ekeler,LAC,3.0,RB3,0.9927536231884058,1.3436259575266738,128,2,"Round 1, Pick 3"
3,3,Derrick Henry,TEN,4.3,RB4,0.7383966244725738,0.575853493285537,29,3,"Round 1, Pick 4"
4,4,Cooper Kupp,LAR,5.3,WR1,1.9798657718120805,1.0185433085981566,173,4,"Round 1, Pick 5"
5,5,Justin Jefferson,MIN,5.7,WR2,1.9473684210526316,0.981450518259899,101,5,"Round 1, Pick 6"
6,6,Najee Harris,PIT,6.7,RB5,0.5958005249343832,0.14542948574358686,81,6,"Round 1, Pick 7"
7,7,Dalvin Cook,MIN,7.3,RB6,0.607773851590106,0.18157077754227882,26,7,"Round 1, Pick 8"
8,8,Ja'Marr Chase,CIN,9.0,WR3,2.5454545454545454,1.664111802894333,102,8,"Round 1, Pick 9"
9,9,Joe Mixon,CIN,10.3,RB7,0.7365269461077845,0.5702098995463438,100,9,"Round 1, Pick 10"
10,10,D'Andre Swift,DET,12.0,RB8,0.6901408450704225,0.4301942079011466,1,10,"Round 1, Pick 11"
11,11,Davante Adams,LV,12.0,WR4,1.7967479674796747,0.8095308763669214,100,11,"Round 2, Pick 1"
12,12,Stefon Diggs,BUF,14.3,WR5,1.7766990291262137,0.786646824298974,61,12,"Round 2, Pick 2"
13,13,Travis Kelce,KC,14.7,TE1,1.8191489361702127,1.3451434071726696,79,13,"Round 2, Pick 3"
14,14,Alvin Kamara,NO,16.0,RB9,0.6550522648083623,0.3242798989946229,42,14,"Round 2, Pick 4"
15,15,Nick Chubb,CLE,16.7,RB10,0.7862903225806451,0.7204198421719544,49,15,"Round 2, Pick 5"
16,16,Javonte Williams,DEN,17.3,RB11,0.6585365853658537,0.33479726393499126,16,16,"Round 2, Pick 6"
17,17,Saquon Barkley,NYG,17.3,RB12,0.5320197044334976,-0.04709188372733931,,17,"Round 2, Pick 7"
18,19,CeeDee Lamb,DAL,18.7,WR7,1.75,0.7561722943305358,32,18,"Round 2, Pick 8"
19,18,Deebo Samuel,SF,18.7,WR6,1.9264705882352942,0.9575975298438488,140,19,"Round 2, Pick 9"
20,20,Tyreek Hill,MIA,21.0,WR8,1.55,0.527890360748781,64,20,"Round 2, Pick 10"
21,21,Aaron Jones,GB,22.0,RB13,0.7937219730941704,0.7428521583926798,31,21,"Round 2, Pick 11"
22,22,Josh Allen,BUF,23.0,QB1,0.0,,134,22,"Round 2, Pick 12"
23,23,Mark Andrews,BAL,23.0,TE2,1.7962962962962963,1.316668736639705,102,23,"Round 3, Pick 1"
24,24,Leonard Fournette,TB,23.3,RB14,0.751004016064257,0.613908699782189,41,24,"Round 3, Pick 2"
25,25,Mike Evans,TB,27.7,WR9,2.52,1.6350577386202916,67,25,"Round 3, Pick 3"
26,26,A.J. Brown,PHI,28.0,WR10,1.8153846153846154,0.8308029264630324,,26,"Round 3, Pick 4"
27,27,Ezekiel Elliott,DAL,28.7,RB15,0.721830985915493,0.5258503826932973,59,27,"Round 3, Pick 5"
28,28,James Conner,ARI,29.7,RB16,0.9246861924686193,1.138165524819341,75,28,"Round 3, Pick 6"
29,29,Keenan Allen,LAC,30.3,WR11,1.4339622641509433,0.3954437672084232,30,29,"Round 3, Pick 7"
30,30,Cam Akers,LAR,31.3,RB17,0.0,-1.6529847097945753,,30,"Round 3, Pick 8"
31,31,Kyle Pitts,ATL,31.3,TE3,1.6029411764705883,1.0757458776931954,17,31,"Round 3, Pick 9"
32,32,Tee Higgins,CIN,33.3,WR12,1.9594594594594594,0.9952513463925086,24,32,"Round 3, Pick 10"
33,33,Patrick Mahomes,II,33.3,QB2,0.0,,93,33,"Round 3, Pick 11"
34,34,David Montgomery,CHI,36.0,RB18,0.5730337078651685,0.07670821865674518,7,34,"Round 3, Pick 12"
35,35,Michael Pittman Jr.,IND,36.7,WR13,1.6236559139784945,0.6119619330624917,29,35,"Round 4, Pick 1"
36,36,Justin Herbert,LAC,37.3,QB3,0.0,,112,36,"Round 4, Pick 2"
37,37,Breece Hall,NYJ,39.0,RB19,1.55,0.527890360748781,64,37,"Round 4, Pick 3"
38,38,Travis Etienne Jr.,JAC,40.0,RB20,1.8191489361702127,1.3451434071726696,79,38,"Round 4, Pick 4"
39,39,Diontae Johnson,PIT,42.0,WR14,1.4910714285714286,0.4606287196041569,46,39,"Round 4, Pick 5"
40,40,George Kittle,SF,42.3,TE4,1.7162162162162162,1.216887971305178,35,40,"Round 4, Pick 6"
41,41,Moore,DJ,43.0,WR15,1.4356435643564356,0.3973628195176291,23,41,"Round 4, Pick 7"
42,42,Jaylen Waddle,MIA,44.3,WR16,1.3396226415094339,0.2877636098585389,20,42,"Round 4, Pick 8"
43,43,Terry McLaurin,WAS,44.3,WR17,1.7564102564102564,0.7634890229709765,15,43,"Round 4, Pick 9"
44,44,Josh Jacobs,LV,44.7,RB21,0.6346863468634686,0.2628057068708479,26,44,"Round 4, Pick 10"
45,45,Mike Williams,LAC,47.0,WR18,2.25,1.3268771282849225,49,45,"Round 4, Pick 11"
46,46,Darren Waller,LV,47.7,TE5,1.4363636363636363,0.8681882126310065,,46,"Round 4, Pick 12"
47,47,Metcalf,DK,48.0,WR19,2.223684210526316,1.2968400317610076,48,47,"Round 5, Pick 1"
48,48,Lamar Jackson,BAL,49.0,QB4,0.0,,,48,"Round 5, Pick 2"
49,49,Elijah Mitchell,SF,49.3,RB22,0.6460176991150443,0.29700920937048286,,49,"Round 5, Pick 3"
50,50,Courtland Sutton,DEN,53.0,WR20,1.5862068965517242,0.5692172625178918,,50,"Round 5, Pick 4"
51,51,Dillon,AJ,53.7,RB23,0.6877828054298643,0.4230765035928318,6,51,"Round 5, Pick 5"
52,52,J.K. Dobbins,BAL,56.3,RB24,0.6666666666666666,0.3593377821291832,,52,"Round 5, Pick 6"
53,53,Amon-Ra St. Brown,DET,56.7,WR21,1.4123711340206186,0.3707994425365942,16,53,"Round 5, Pick 7"
54,54,Brandin Cooks,HOU,58.0,WR22,1.5434782608695652,0.5204463846537237,20,54,"Round 5, Pick 8"
55,56,Kyler Murray,ARI,59.0,QB5,0.0,,32,55,"Round 5, Pick 9"
56,55,Chris Godwin,TB,59.0,WR23,1.411764705882353,0.37010725959668594,23,56,"Round 5, Pick 10"
57,57,Joe Burrow,CIN,59.7,QB6,0.0,,46,57,"Round 5, Pick 11"
58,58,Marquise Brown,ARI,59.7,WR24,1.4673913043478262,0.43359999687805634,14,58,"Round 5, Pick 12"
59,59,Darnell Mooney,CHI,61.0,WR25,1.5977011494252873,0.582336913873165,17,59,"Round 6, Pick 1"
60,60,Jalen Hurts,PHI,63.0,QB7,0.0,,44,60,"Round 6, Pick 2"
61,61,Allen Robinson,II,63.0,WR26,1.2894736842105263,0.23052310516202157,,61,"Round 6, Pick 3"
62,62,Dalton Schultz,DAL,64.3,TE6,1.6794871794871795,1.1711231395123227,39,62,"Round 6, Pick 4"
63,63,Michael Thomas,NO,66.0,WR27,0.0,-1.2412946245098182,,63,"Round 6, Pick 5"
64,64,Amari Cooper,CLE,66.3,WR28,1.9852941176470589,1.024739275014953,13,64,"Round 6, Pick 6"
65,65,Antonio Gibson,WAS,66.7,RB25,0.6233333333333333,0.2285368201541389,41,65,"Round 6, Pick 7"
66,66,Jerry Jeudy,DEN,67.3,WR29,1.175,0.09986173528299092,,66,"Round 6, Pick 8"
67,67,Gabriel Davis,BUF,67.7,WR30,2.6,1.7263705120529935,,67,"Round 6, Pick 9"
68,68,Clyde Edwards-Helaire,KC,70.7,RB26,0.717391304347826,0.512449276079904,,68,"Round 6, Pick 10"
69,69,T.J. Hockenson,DET,71.3,TE7,1.3770491803278688,0.7942816704206143,,69,"Round 6, Pick 11"
70,70,Damien Harris,NE,71.7,RB27,0.8727272727272727,0.9813283705419813,46,70,"Round 6, Pick 12"
71,71,Adam Thielen,MIN,73.7,WR31,1.9558823529411764,0.9911684024294009,11,71,"Round 7, Pick 1"
72,72,Devin Singletary,BUF,74.0,RB28,0.6929824561403509,0.4387715647051213,12,72,"Round 7, Pick 2"
73,73,Dak Prescott,DAL,75.0,QB8,0.0,,52,73,"Round 7, Pick 3"
74,74,JuJu Smith-Schuster,KC,76.0,WR32,1.054054054054054,0.3918257679453081,,74,"Round 7, Pick 4"
75,75,Cordarrelle Patterson,ATL,77.3,RB29,0.8926829268292683,1.041564187927726,37,75,"Round 7, Pick 5"
76,76,Miles Sanders,PHI,78.3,RB30,0.558282208588957,0.032181057982069175,,76,"Round 7, Pick 6"
77,77,Elijah Moore,NYJ,79.0,WR33,1.9791666666666667,1.0177453432262964,,77,"Round 7, Pick 7"
78,78,Tony Pollard,DAL,79.7,RB31,0.7337278106508875,0.5617607546895613,,78,"Round 7, Pick 8"
79,79,Rashaad Penny,SEA,80.0,RB32,0.928,1.1481681989632968,,79,"Round 7, Pick 9"
80,80,Kareem Hunt,CLE,81.7,RB33,0.88,1.0032809795447861,,80,"Round 7, Pick 10"
81,81,Russell Wilson,DEN,81.7,QB9,0.0,,,81,"Round 7, Pick 11"
82,82,Dallas Goedert,PHI,81.7,TE8,1.9464285714285714,1.5037353991496805,17,82,"Round 7, Pick 12"
83,83,Chase Edmonds,MIA,82.3,RB34,0.6289308176100629,0.24543273541651767,,83,"Round 8, Pick 1"
84,84,Rashod Bateman,BAL,83.7,WR34,1.2608695652173914,0.19787408720124433,,84,"Round 8, Pick 2"
85,85,Tom Brady,TB,85.3,QB10,0.0,,106,85,"Round 8, Pick 3"
86,86,Hunter Renfrow,LV,85.7,WR35,1.471698113207547,0.4385158301483769,35,86,"Round 8, Pick 4"
87,87,DeVonta Smith,PHI,86.0,WR36,1.90625,0.9345175549412816,,87,"Round 8, Pick 5"
88,88,Rhamondre Stevenson,NE,88.3,RB35,0.6870748299319728,0.4209394910656249,,88,"Round 8, Pick 6"
89,89,Ken Walker,III,90.0,RB36,1.4363636363636363,0.8681882126310065,,89,"Round 8, Pick 7"
90,90,Matthew Stafford,LAR,93.3,QB11,0.0,,61,90,"Round 8, Pick 8"
91,91,Brandon Aiyuk,SF,93.3,WR37,1.8688524590163935,0.8918316401065787,,91,"Round 8, Pick 9"
92,92,DeAndre Hopkins,ARI,94.3,WR38,2.5,1.612229545262116,,92,"Round 8, Pick 10"
93,93,Drake London,ATL,95.3,WR39,0.7849462365591398,0.716362740373721,,93,"Round 8, Pick 11"
94,94,Tyler Lockett,SEA,95.7,WR40,2.24,1.315463031605835,47,94,"Round 8, Pick 12"
95,95,Zach Ertz,ARI,96.0,TE9,1.4266666666666667,0.8561056690468621,15,95,"Round 9, Pick 1"
96,96,Aaron Rodgers,GB,96.3,QB12,0.0,,64,96,"Round 9, Pick 2"
97,97,Melvin Gordon,III,97.7,RB37,0.7229437229437229,0.5292091613175524,21,97,"Round 9, Pick 3"
98,98,Christian Kirk,JAC,101.3,WR41,1.6794871794871795,0.6756882792856863,9,98,"Round 9, Pick 4"
99,99,Robert Woods,TEN,101.7,WR42,1.7358490566037736,0.7400202707280532,,99,"Round 9, Pick 5"
100,100,Dawson Knox,BUF,102.0,TE10,2.3469387755102042,2.0027760425604977,23,100,"Round 9, Pick 6"
101,101,Trey Lance,SF,102.0,QB13,0.0,,,101,"Round 9, Pick 7"
102,103,Treylon Burks,TEN,103.7,WR43,0.5374149659863946,-0.030806374468279964,,102,"Round 9, Pick 8"
103,102,Dameon Pierce,HOU,103.7,RB38,0.0,-1.2412946245098182,,103,"Round 9, Pick 9"
104,104,Allen Lazard,GB,104.0,WR44,2.395348837209302,1.4927796962949187,,104,"Round 9, Pick 10"
105,105,Chris Olave,NO,105.3,WR45,1.8695652173913044,0.8926451894065849,,105,"Round 9, Pick 11"
106,106,Michael Carter,NYJ,107.7,RB39,0.644808743169399,0.2933599955087324,,106,"Round 9, Pick 12"
107,107,James Cook,BUF,108.0,RB40,1.6153846153846154,0.6025209928812778,,107,"Round 10, Pick 1"
108,108,Derek Carr,LV,110.0,QB14,0.0,,,108,"Round 10, Pick 2"
109,109,James Robinson,JAC,110.0,RB41,0.7333333333333333,0.560570031321559,,109,"Round 10, Pick 3"
110,110,Kirk Cousins,MIN,111.0,QB15,0.0,,32,110,"Round 10, Pick 4"
111,111,Chase Claypool,PIT,111.7,WR46,1.4794520547945205,0.44736625404014824,,111,"Round 10, Pick 5"
